"DMF No",STATUS,"Submission Date","DMF Holder",Molecule
2757,A,10/08/1976,"3M DRUG DELIVERY SYSTEMS DIV","CORDRAN (FLURANDRENOLIDE) TAPE"
2767,A,11/02/1976,"TEVA PHARMACEUTICAL INDUSTRIES LTD","ESTROGENIC LIQUIDS "
2789,A,11/11/1976,"SANOFI CHIMIE","HYDROCORTISONE USP "
2809,A,12/10/1976,"OLON SPA","CLIDINIUM BROMIDE"
2853,A,2/01/1977,"TRIFARMA SPA","TRIFLUOPERAZINE HYDROCHLORIDE"
2870,A,2/18/1977,"TEVA PHARMACEUTICAL INDUSTRIES LTD","ALLOPURINOL USP"
2872,A,3/01/1977,"TEVA PHARMACEUTICAL INDUSTRIES LTD","TRIMETHOPRIM USP"
2874,A,2/28/1977,"SANOFI CHIMIE",PREDNISONE
2908,A,3/18/1977,"DIPHARMA FRANCIS SRL","AMITRIPTYLINE HYDROCHLORIDE"
2911,A,4/12/1977,"SIEGFRIED EVIONNAZ SA","BUPIVACAINE HCL"
2922,A,5/02/1977,"SANOFI CHIMIE","METHYLPREDNISOLONE HEMISUCCINATE "
2938,A,5/09/1977,"PROCOS SPA","PHENYLTOLOXAMINE CITRATE"
2981,A,7/27/1977,"BASF SE","GLYCERINE-POLYETHYLENE GLYCOL-RICINOLEATE"
3017,A,7/22/1977,"BASF SE",POVIDONE-IODINE
3052,A,10/18/1977,"DIPHARMA FRANCIS SRL",SPIRONOLACTONE
3061,A,11/14/1977,"DUPONT NUTRITION BIOSCIENCES APS","VALPROIC ACID"
3062,A,11/09/1977,"TEVA PHARMACEUTICAL INDUSTRIES LTD","5-FLUOROURACIL "
3116,A,12/27/1977,"SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH","DOPAMINE HYDROCHLORIDE"
3131,A,2/27/1978,"KYOWA HAKKO BIO CO LTD","AMINO ACIDS"
3136,A,1/23/1978,"FIS FABBRICA ITALIANA SINTETICI SPA",INDOMETHACIN
3139,A,2/28/1978,"DIPHARMA FRANCIS SRL","TOLBUTAMIDE USP"
3149,A,3/15/1978,"KYOWA HAKKO BIO CO LTD","AMINO ACIDS"
3164,A,2/28/1978,"FIS FABBRICA ITALIANA SINTETICI SPA",DIAZEPAM
3190,A,4/28/1978,"PHARMACIA AND UPJOHN SUB PFIZER INC","TESTOSTERONE, USP"
3208,A,5/25/1978,"DR REDDYS LABORATORIES LTD","NAPROXEN SODIUM"
3209,A,4/17/1978,"SOCIETA ITALIANA MEDICINALI SCANDICCI SIMS SRL",DIPYRIDAMOLE
3230,A,5/26/1978,"TEVA PHARMACEUTICAL INDUSTRIES LTD","DOXEPIN HCL USP"
3240,A,6/30/1978,"ROCHE PALO ALTO LLC","RS-37619-00-31-3 (RS-37619, TROMETHAMINE SALT)"
3293,A,9/13/1978,"OLON SPA","CYPROHEPTADINE HYDROCHLORIDE "
3312,A,8/09/1978,"MITSUBISHI TANABE PHARMA CORP","URSODEOXYCHOLIC ACID"
3328,A,6/14/1978,"ANGELINI ACRAF SPA","TRAZODONE HCL"
3374,A,10/04/1978,"LUNDBECK PHARMACEUTICALS ITALY SPA","DESIPRAMINE HYDROCHLORIDE"
3379,A,11/02/1978,"BAYER AG","ESTRADIOL VALERATE"
3391,A,10/31/1978,"BAYER PHARMA AG","TESTOSTERONE ENANTHATE"
3403,A,12/06/1978,"MERCK KGAA","MANNITOL, PYROGENE-FREE"
3407,A,1/09/1979,"KYOWA HAKKO BIO CO LTD","AMINO ACID MIXTURES"
3409,A,12/12/1978,"PRODUCTOS QUIMICOS NATURALES SA DE CV","ESTROPIPATE "
3413,A,10/17/1978,"MERCK KGAA","METHYL GLUCAMINE (PRODUCT #6143)"
3432,A,1/09/1979,"SIEGFRIED USA LLC","PHENTERMINE HYDROCHLORIDE USP"
3437,A,11/30/1978,"MIDAS PHARMA GMBH","DIETHYLPROPIONE HCL"
3452,A,2/08/1979,"SANOFI CHIMIE","METHYLPREDNISOLONE ACETATE"
3456,A,12/21/1978,"SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH",TRETINOIN
3464,A,2/15/1979,"MALLINCKRODT NUCLEAR MEDICINE LLC","DIETHYLENETRIAMINEPENTAACETIC ACID (DTPA) "
3469,A,1/10/1979,"SIEGFRIED EVIONNAZ SA","MEPIVACAINE HCL"
3501,A,2/28/1979,"CAMBREX PROFARMACO MILANO SRL","FLURAZEPAM HYDROCHLORIDE"
3505,A,4/11/1979,"CAMBREX PROFARMACO MILANO SRL","AMIODARONE HCL"
3506,A,4/24/1979,"BAXTER HEALTHCARE CORP","IFOSFAMIDE USP/EP"
3513,A,3/08/1979,"FIS FABBRICA ITALIANA SINTETICI SPA",FUROSEMIDE
3514,A,3/02/1979,"DIPHARMA FRANCIS SRL",CHLORPROPAMIDE
3516,A,3/30/1979,"DIPHARMA FRANCIS SRL","TRIAMTERENE USP "
3524,A,2/08/1979,"DIPHARMA FRANCIS SRL","CYPROHEPTADINE HCL, USP"
3529,A,5/30/1979,"SANOFI CHIMIE","PREDNISOLONE ACETATE "
3531,A,3/14/1979,"NISSHIN PHARMA INC","PHYTONADIONE, USP (VITAMIN K1)"
3535,A,6/04/1979,"SANOFI CHIMIE",PREDNISOLONE
3538,A,4/03/1979,"SIGMA ALDRICH ISRAEL LTD","DACTINOMYCIN USP "
3542,A,6/12/1979,"CHUGAI PHARMACEUTICAL CO LTD","SUCRALFATE "
3564,A,4/30/1979,"FRANCO INDIAN PHARMACEUTICALS PVT LTD",METHOXSALEN
3570,A,7/20/1979,"SANOFI CHIMIE","HYDROCORTISONE ACETATE"
3594,A,6/11/1979,"BAXTER HEALTHCARE CORP","CYCLOPHOSPHAMIDE, USP/EP"
3605,A,9/05/1979,"SANOFI CHIMIE","KETOPROFEN (19,583 R.P.)"
3609,A,9/03/1979,"CORDEN PHARMA BERGAMO SPA","METRONIDAZOLE USP"
3633,A,10/15/1979,"RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA","PAPAVERINE HCI"
3659,A,11/15/1979,"OLON SPA","CLIDINIUM BROMIDE, USP"
3677,A,12/20/1979,"BUCHLER GMBH","QUINIDINE BASE, SULFATE, BISULFATE AND GLUCONATE"
3716,A,1/29/1980,"BAXTER ONCOLOGY GMBH","CYCLOPHOSPHAMIDE INJECTION VIALS"
3721,A,2/13/1980,"SIEGFRIED LTD","SOTALOL HYDROCHLORIDE"
3725,A,2/07/1980,"DIPHARMA FRANCIS SRL","ISOSORBIDE DINITRATE (ISDN)"
3731,A,2/07/1980,"DIPHARMA FRANCIS SRL","GLYCERYN TRINITRATE (NITROGLYCERIN-NG)"
3743,A,3/10/1980,"GE HEALTHCARE INC","CYCLOTRON OPERATION, INDIUM CL (IN 111)"
3746,A,3/10/1980,"GE HEALTHCARE INC","THALLOUS CL (TL-201) (CYCLOTRON OPERATION)"
3771,A,4/15/1980,"SANOFI CHIMIE","METHYLPREDNISOLONE "
3776,A,3/07/1980,"FIS FABBRICA ITALIANA SINTETICI SPA","PENTAZOCINE HCI"
3803,A,5/20/1980,"ASPEN OSS BV","ETHINYL ESTRADIOL "
3807,A,5/20/1980,"ASPEN OSS BV","HUMAN CHORIONIC GONADOTROPHIN (HCG) "
3823,A,5/20/1980,"ASPEN OSS BV",PROGESTERONE
3828,A,6/11/1980,"AMINO GMBH",L-LEUCINE
3829,A,5/21/1980,"ASPEN OSS BV","ESTRADIOL "
3835,A,6/10/1980,"JOHNSON AND JOHNSON CONSUMER INC MCNEIL CONSUMER HEALTHCARE DIV","NICORETTE "
3840,A,6/10/1980,"INSTITUTO MASSONE S A","HUMAN CHORIONIC GONADOTROPIN "
3849,A,5/22/1980,"ASPEN OSS BV",NORETHINDRONE
3857,A,5/21/1980,"ASPEN OSS BV","TESTOSTERONE CYPIONATE "
3861,A,5/21/1980,"ASPEN OSS BV",METHYLTESTOSTERONE
3872,A,7/11/1980,"EVONIK CORP","L-LYSINE HYDRATE"
3873,A,6/16/1980,"ASPEN OSS BV","ESTERIFIED ESTROGENS  CC"
3877,A,6/25/1980,"ASPEN OSS BV","TESTOSTERONE ENANTHATE"
3879,A,7/14/1980,"KONGO CHEMICAL CO LTD","DIPHENHYDRAMINE HCI USP"
3885,A,7/14/1980,"KONGO CHEMICAL CO LTD","CHLORPHENIRAMINE MALEATE USP"
3910,A,7/18/1980,"RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA","DIPHENHYDRAMINE HCL USP"
3953,A,8/20/1980,"KLINGE CHEMICALS LTD","POTASSIUM CHLORIDE USP"
3957,A,10/06/1980,"TEVA PHARMACEUTICAL INDUSTRIES LTD","CLOMIPHENE CITRATE"
3963,A,10/10/1980,"SANOFI CHIMIE","DEXAMETHASONE SODIUM PHOSPHATE"
4015,A,11/19/1980,"EVONIK CORP","L-GLUTAMIC ACID"
4028,A,12/10/1980,"TEVA PHARMACEUTICAL INDUSTRIES LTD",HYDROCHLOROTHIAZIDE
4033,A,10/22/1980,"AMINO GMBH",L-PHENYLALANINE
4038,A,1/20/1981,"SIEGFRIED LTD",CARBACHOL
4051,A,2/05/1981,"SANOFI CHIMIE","PREDNISOLONE SODIUM PHOSPHATE"
4065,A,2/20/1981,"SIEGFRIED EVIONNAZ SA","TETRACAINE HCL "
4066,A,1/21/1981,"GEDEON RICHTER PLC","ESTRADIOL USP "
4088,A,2/27/1981,"SIEGFRIED LTD","TRIMETHOBENZAMIDE HCL."
4095,A,2/27/1981,"SANOFI CHIMIE","CYANOCOBALAMIN "
4097,A,2/24/1981,"SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH","THEOPHYLLINE ANHYDROUS"
4104,A,2/27/1981,"COSMA SPA","PROPRANOLOL HCL"
4118,A,4/09/1981,"TEVA PHARMACEUTICAL INDUSTRIES LTD","BETAMETHASONE VALERATE"
4120,A,2/27/1981,"TRIFARMA SPA","THIORIDAZINE HYDROCHLORIDE "
4126,A,2/27/1981,"TRIFARMA SPA","FLUPHENAZINE HCL"
4128,A,3/31/1981,"MALLINCKRODT NUCLEAR MEDICINE LLC","THALLOUS CHLORIDE TI 201"
4130,A,2/27/1981,"TRIFARMA SPA","PERPHENAZINE U.S.P."
4134,A,3/31/1981,"MALLINCKRODT NUCLEAR MEDICINE LLC","GALLIUM CHLORIDE GA-67"
4139,A,3/27/1981,"SIMS SRL","LIDOCAINE BASE CRYSTALLIZED & LIDOCAINE HcL"
4148,A,4/28/1981,"TEVA PHARMACEUTICAL INDUSTRIES LTD","BETAMETHASONE DIPROPIONATE"
4178,A,5/21/1981,"BAYER AG",LEVONORGESTREL
4185,A,5/27/1981,"SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH","PSEUDOEPHEDRINE "
4195,A,5/11/1981,"CAMBREX PROFARMACO MILANO SRL",LORMETAZEPAM
4203,A,6/12/1981,"MALLINCKRODT INC",COMPAP
4220,A,3/18/1981,"ESTEVE QUIMICA SA","INDOMETHACIN FOR HUMAN USE"
4233,A,4/08/1981,"PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC","TESTOSTERONE PROPIONATE "
4240,A,6/26/1981,"CAMBREX PROFARMACO MILANO SRL","CLORAZEPATE DIPOTASSIUM"
4242,A,8/12/1981,"ROCKWOOD LITHIUM INC","LITHIUM CARBONATE USP"
4245,A,8/13/1981,"PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC","TESTOSTERONE CYPIONATE USP KALAMAZOO"
4246,A,8/06/1981,"FERMION OY",METHOTREXATE
4273,A,7/15/1981,"BAYER PHARMA AG","TRASYLOL (APROTININ)-DRUG SUBSTANCE"
4287,A,10/02/1981,"MERCK KGAA","PRAZIQUANTEL 2-(CYCLOHEXYLCARBONYL)-1,2,3,6,7,11BETA-4HPYRAZINO-(2,1-ALPHA)
"
4297,A,9/29/1981,"LEK PHARMACEUTICALS DD","SILVER SULFADIAZINE"
4305,A,10/22/1981,"SCHERING PLOUGH AVONDALE CO","CHLORPHENIRAMINE MALEATE"
4312,A,10/21/1981,"SCHERING PLOUGH AVONDALE CO","DEXBROMPHENIRAMINE MALEATE"
4313,A,11/03/1981,"COPPERHEAD INVESTMENTS INC","SDM 27 (10% NITROGLYCERIN IN PROPYLENE GLYCOL)"
4323,A,11/10/1981,"ALBEMARLE CORP","LIDOCAINE HCL, USP, BP & PH EUR"
4328,A,10/02/1981,"PROCOS SPA","PHENELZINE SULFATE"
4334,A,10/28/1981,"ACRAF SPA","DAPIPRAZOLE HYDROCHLORIDE"
4341,A,11/18/1981,"SIEGFRIED EVIONNAZ SA",CARBAMAZEPINE
4358,A,10/20/1981,"SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH","(-)-EPHEDRINE SALTS"
4369,A,12/08/1981,"CAMBREX PROFARMACO MILANO SRL",METHYCLOTHIAZIDE
4376,A,11/12/1981,"CAMBREX PROFARMACO MILANO SRL",TEMAZEPAM
4395,A,11/25/1981,"CHEMISCHE FABRIK BERG GMBH",BUTALBITAL
4416,A,1/23/1982,"OLON SPA",CARISOPRODOL
4420,A,2/03/1982,"TEVA PHARMACEUTICAL INDUSTRIES LTD",DESONIDE
4423,A,2/03/1982,"SANOFI CHIMIE",FLUOROMETHOLONE
4435,A,1/29/1982,"COSMA SPA","HYDROXYZINE HYDROCHLORIDE"
4438,A,2/18/1982,"CAMBREX PROFARMACO MILANO SRL",OXAZEPAM
4475,A,3/12/1982,"DELMAR CHEMICALS INC","ESMOLOL HYDROCHLORIDE"
4486,A,4/05/1982,"TEVA PHARMACEUTICAL INDUSTRIES LTD","FLUOCINOLONE ACETONIDE (PROCESS I)"
4493,A,4/05/1982,"SOCIETA ITALIANA MEDICINALI SCANDICCI SIMS SRL","CLONIDINE HcL"
4505,A,4/26/1982,"ALBEMARLE CORP","PARA-AMINOHIPPURIC ACID USP XX "
4514,A,4/16/1982,"COSMA SPA","HYDROXYZINE PAMOATE"
4517,A,5/04/1982,"CAMBREX PROFARMACO MILANO SRL",LORAZEPAM
4519,A,4/30/1982,"ABBVIE INC","PRAMOXINE HCL"
4523,A,5/03/1982,"COSMA SPA","METOCLOPRAMIDE HYDROCHLORIDE"
4524,A,5/10/1982,"PHARMACIA AND UPJOHN SUB PFIZER INC","DEXAMETHASONE MICRONIZED USP"
4525,A,4/20/1982,"AMRI RENSSELAER INC","MEPERIDINE HCL USP"
4531,A,4/07/1982,"RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA","PHENYTOIN MICRO"
4532,A,5/10/1982,"PFIZER INC","DEXAMETHASONE ACETATE USP ANHYDROUS MICRONIZED"
4538,A,4/07/1982,"RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA","PHENYTOIN SODIUM"
4539,A,5/17/1982,"R MASON CHEMICALS LTD","SELENIUM DISULFIDE"
4555,A,3/17/1982,"AJINOMOTO NORTH AMERICA INC","AMINO ACIDS"
4561,A,5/12/1982,"FINE CHEMICALS CORP PTY LTD","VINCRISTINE SULPHATE/VINBLASTINE SULPHATE"
4570,A,5/21/1982,"FERMION OY","TRAZODONE HYDROCHLORIDE"
4591,A,7/09/1982,"TEVA PHARMACEUTICAL INDUSTRIES LTD",FLUOCINONIDE
4627,A,7/13/1982,"RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA",DIMENHYDRINATE
4633,A,7/28/1982,"SHANDONG XINHUA PHARMACEUTICAL CO LTD",THEOPHYLLINE
4642,A,9/01/1982,"ALKALOIDA CHEMICAL CO ZRT","PHENOBARBITAL USP"
4662,A,9/23/1982,"SANOFI CHIMIE","HYDROCORTISONE VALERATE USP BULK SUBSTANCE"
4676,A,9/27/1982,"SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH","13-CIS-RETINOIC ACID (ISOTRETINOIN)"
4684,A,10/13/1982,"BAYER PHARMA AG",ESTRADIOL
4687,A,10/14/1982,"SUMITOMO CHEMICAL CO LTD","DISOPYRAMIDE PHOSPHATE USP XX"
4688,A,10/16/1982,"KONGO CHEMICAL CO LTD","DEXCHLORPHENIRAMINE MALEATE"
4690,A,10/13/1982,"BAYER AG",ESTRADIOL-3-BENZOATE
4691,A,10/19/1982,"DISHMAN NETHERLANDS BV",DIHYDROTACHYSTEROL
4697,A,10/27/1982,"ROQUETTE FRERES","DEXTROSE MONOHYDRATE USP GRADE (LYCADEX® PF)"
4710,A,10/29/1982,"YANGZHOU PHARMACEUTICAL CO LTD","HYDROCORTISONE BASE & ACETATE"
4712,A,10/26/1982,"TEVA PHARMACEUTICAL INDUSTRIES LTD","TRIAMCINOLONE ACETONIDE"
4716,A,11/15/1982,"CORDEN PHARMA BERGAMO SPA","IMIPRAMINE HCL USP"
4719,A,11/10/1982,"TEVA PHARMACEUTICAL INDUSTRIES LTD","CARBAMAZEPINE USP."
4730,A,12/07/1982,"YUKI GOSEI KOGYO CO LTD","AMINOACETIC ACID"
4741,A,11/15/1982,"CORDEN PHARMA BERGAMO SPA","DOXYLAMINE SUCCINATE USP"
4772,A,12/07/1982,"YUKI GOSEI KOGYO CO LTD","ISONIAZID BULK FORM"
4778,A,1/21/1983,PCAS,"CLONIDINE HYDROCHLORIDE "
4789,A,1/06/1983,"SANDOZ GMBH","LEVOTHYROXINE SODIUM"
4796,A,1/06/1983,"PHARMACIA AND UPJOHN SUB PFIZER INC","METHYLPREDNISOLONE USP "
4798,A,12/22/1982,"OLON SPA","AMILORIDE HYDROCHLORIDE"
4802,A,1/24/1983,"RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA","VERAPAMIL HYDROCHLORIDE"
4813,A,1/06/1983,"PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC","METHYLPREDNISOLONE ACETATE USP"
4827,A,3/03/1983,"REGIS TECHNOLOGIES INC","4-AMINOPYRIDINE "
4839,A,3/11/1983,"MALLINCKRODT INC","CODEINE PHOSPHATE"
4871,A,3/14/1983,"TEVA PHARMACEUTICAL INDUSTRIES LTD","BECLOMETHASONE DIPROPIONATE"
4877,A,3/26/1983,"LUNDBECK PHARMACEUTICALS ITALY SPA","METOCLOPRAMIDE HCL MONOHYDRATE"
4884,A,3/15/1983,"MALLINCKRODT INC","HYDROCODONE BITARTRATE USP CRYSTALS"
4911,A,4/18/1983,"ALBEMARLE CORP","PROCAINAMIDE HYDROCHLORIDE "
4923,A,4/18/1983,"SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH","(+)-PSEUDOEPHEDRINE SULFATE"
4928,A,3/22/1983,"HERBRAND PHARMACHEMICALS GMBH",PROPYLTHIOURACIL
4929,A,3/17/1983,"TARO PHARMACEUTICAL INDUSTRIES LTD","CARBAMAZEPINE USP"
4932,A,6/01/1983,"MINAKEM HIGH POTENT","VINCRISTINE SULFATE"
4936,A,6/01/1983,"NORDIC SYNTHESIS AB","MEPIVACAINE HCL"
4942,A,4/29/1983,"INDENA SPA","RESERPINE USP"
4953,A,5/31/1983,"SEKISUI MEDICAL CO LTD",L-METHIONINE
4973,A,4/07/1983,"JUSTESA IMAGEN SAU","DIATRIZOIC ACID DIHYDRATE"
4975,A,7/05/1983,"PHARMACIA AND UPJOHN SUB PFIZER INC","MEDROXYPROGESTERONE ACETATE USP"
4990,A,6/21/1983,"SANDOZ GMBH","7-AMINO-CEPHALOSPORANIC ACID (7-ACA)"
4991,A,5/28/1983,"TEVA PHARMACEUTICAL INDUSTRIES LTD",HALOPERIDOL
4996,A,6/21/1983,"SANDOZ GMBH",7-ACT
5005,A,5/03/1983,"SANOFI CHIMIE","AMIODARONE HCL"
5019,A,6/29/1983,"SIEGFRIED EVIONNAZ SA","PRILOCAINE HCL"
5024,A,6/28/1983,"SIEGFRIED EVIONNAZ SA","BENOXINATE HYDROCHLORIDE"
5025,A,7/21/1983,"OLON SPA","DOXEPINE HYDROCHLORIDE "
5027,A,5/17/1983,"FIS FABBRICA ITALIANA SINTETICI SPA",LORAZEPAM
5032,A,8/05/1983,"SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH","CAFFEINE (HYDROUS, ANHYDROUS FORMS)"
5038,A,8/15/1983,"JOHNSON MATTHEY PHARMACEUTICAL MATERIALS","FENTANYL CITRATE (BULK)"
5041,A,7/09/1983,"EVONIK TECHNOCHEMIE GMBH",LORAZEPAM
5046,A,6/30/1983,"CERBIOS PHARMA SA","LEUCOVORIN CALCIUM"
5047,A,7/25/1983,"PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC","ESTRADIOL CYPIONATE USP"
