Reference Product Application Type,Reference Product Application Number,Reference Product Approval Date,Reference Product - Marketed By,Reference Product Applicant Name,Reference Product Brand Name,Active Ingredient,Form,Dosage,TE Code,Approved ANDA Count,Approved ANDA Details,ANDA Holder-Marketed By,TA ANDA Count,TA ANDA Details,Discontinued ANDA Count,Discontinued ANDA Details,OB Patent Count,OB Patent Details,OB First Patent Expiry Date,OB Last Patent Expiry Date,OB Patent Link,OB NCE Status,OB NCE Date,OB Exclusivity Count,OB Exclusivity Details,OB First Exclusivity Expiry Date,OB Last Exclusivity Expiry Date,Orphan Status,DEA Status,DMF Count,DMF Details,Reference Product Label Link,Pharma Class
NDA,6134,8/13/1947,"(1)WEST-WARD PHARMS INT-DIRECT RX;Lake Erie Medical DBA Quality Care Products LLC;PD-Rx Pharmaceuticals, Inc.;STAT Rx USA LLC;West-Ward Pharmaceuticals Corp.(5)",WEST-WARD PHARMS INT,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,TABLET;ORAL, {5MG}{10MG},AA,6,"(1)203502,AUROLIFE PHARMA LLC,8/31/2015;(2)90065,EPIC PHARMA LLC,8/18/2015;(3)40050,MALLINCKRODT,4/15/1993;(4)40517,MALLINCKRODT,4/27/2004;(5)40241,SANDOZ,5/29/1998;(6)90635,THE PHARMANETWORK,11/25/2009;","(1)AUROLIFE PHARMA LLC-American Health Packaging;Aurolife Pharma, LLC(2)EPIC PHARMA LLC-None(3)MALLINCKRODT-None(4)MALLINCKRODT-Bryant Ranch Prepack;H.J. Harkins Company Inc.;Lake Erie Medical DBA Quality Care Products LLC;Mallinckrodt, Inc.;Physicians Total Care, Inc.;STAT Rx USA LLC(5)SANDOZ-VistaPharm, Inc.(6)THE PHARMANETWORK-American Health Packaging;Ascend Laboratories, LLC;Major Pharmaceuticals;McKesson Packaging Services a business unit of McKesson Corporation",0,None,2,"(1)ROXANE,88108;(2)SANDOZ,40241;",0,None,None,None,NA,No,None,0,None,None,None,NO,CII;,3,(1)CHATTEM CHEMICALS INC(25286)(2)MALLINCKRODT INC(29350)(3)SIEGFRIED USA LLC(6231),http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/006134s040s041lbl.pdf,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"
NDA,6188,7/28/1947,"(1)DAVA PHARMS INC-American Health Packaging;DAVA Pharmaceuticals, Inc.(2)",DAVA PHARMS INC,PROPYLTHIOURACIL,PROPYLTHIOURACIL,TABLET;ORAL, {50MG},BD,1,"(1)80172,ACTAVIS ELIZABETH,1/09/1973;","(1)ACTAVIS ELIZABETH-Actavis Pharma, Inc.;Avera McKennan Hospital;Cardinal Health;NCS HealthCare of KY, Inc dba Vangard Labs",0,None,12,"(1)ABBOTT,84075;(2)ANABOLIC,80285;(3)ANI PHARMS INC,80215;(4)CHARTWELL RX,84543;(5)HALSEY,80015;(6)HIKMA INTL PHARMS,80154;(7)IMPAX LABS,80159;(8)LANNETT,80016;(9)SUN PHARM INDUSTRIES,83982;(10)TABLICAPS,80840;(11)WATSON LABS,80932;(12)WATSON LABS,85201;",0,None,None,None,NA,No,None,0,None,None,None,NO,None,3,(1)CHEMISCHE FABRIK BERG GMBH(16578)(2)HERBRAND PHARMACHEMICALS GMBH(4928)(3)MACLEODS PHARMACEUTICALS LTD(29101),http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/006188s025lbl.pdf,"Thyroid Hormone Synthesis Inhibitor [EPC],Thyroid Hormone Synthesis Inhibitors [MoA]"
NDA,6488,11/19/1948,"(1)FRESENIUS KABI USA-Cardinal Health;Fresenius Kabi USA, LLC;General Injectables & Vaccines, Inc;Physicians Total Care, Inc.;Rebel Distributors Corp;REMEDYREPACK INC.;RX PHARMA-PACK, INC.(7)",FRESENIUS KABI USA,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,INJECTABLE;INJECTION, {0.01MG/ML;1%}{0.02MG/ML;2%}{0.005MG/ML;0.5%}{0.005MG/ML;1.5%}{0.005MG/ML;1%}{0.005MG/ML;2%}{2%}{1%}{0.50%}{1.50%},AP,16,"(1)207182,none,10/30/2017;(2)203040,AUROBINDO PHARMA LTD,3/14/2013;(3)203082,AUROBINDO PHARMA LTD,3/14/2013;(4)16801,FRESENIUS KABI USA,10/06/1969;(5)80404,FRESENIUS KABI USA,12/29/1971;(6)88586,FRESENIUS KABI USA,7/24/1985;(7)88329,HOSPIRA,5/17/1984;(8)40302,HOSPIRA,9/28/1998;(9)80408,HOSPIRA,9/28/1972;(10)83158,HOSPIRA,10/31/1972;(11)88299,HOSPIRA,7/31/1984;(12)83173,INTL MEDICATION,9/17/1975;(13)80850,LUITPOLD,6/23/1972;(14)91564,LUITPOLD PHARMS INC,8/14/2015;(15)91056,MYLAN LABS LTD,12/08/2010;(16)91058,MYLAN LABS LTD,9/30/2010;","(1)AUROBINDO PHARMA LTD-AuroMedics Pharma LLC(2)AUROBINDO PHARMA LTD-AuroMedics Pharma LLC(3)FRESENIUS KABI USA-APP Pharmaceuticals, LLC(4)FRESENIUS KABI USA-APP Pharmaceuticals, LLC;Cardinal Health;US MedSource, LLC(5)FRESENIUS KABI USA-APP Pharmaceuticals, LLC;REMEDYREPACK INC.(6)HOSPIRA-Cardinal Health;General Injectables & Vaccines, Inc;Hospira, Inc.;McKesson Packaging Services Business Unit of McKesson Corporation(7)HOSPIRA-Cardinal Health;General Injectables & Vaccines, Inc;Hospira, Inc.;Terrain Pharmaceuticals(8)HOSPIRA-Cardinal Health;General Injectables & Vaccine, Inc;General Injectables & Vaccines, Inc;Hospira, Inc.(9)HOSPIRA-A-S Medication Solutions;Cardinal Health;General Injectables & Vaccines, Inc;Hospira, Inc.;McKesson Packaging Services Business Unit of McKesson Corporation;Physicians Total Care, Inc.;REMEDYREPACK INC.;US MedSource, LLC(10)HOSPIRA-Cardinal Health;Hospira, Inc.(11)INTL MEDICATION-International Medication Systems, Limited(12)LUITPOLD-None(13)LUITPOLD PHARMS INC-None(14)MYLAN LABS LTD-None(15)MYLAN LABS LTD-None(16)none-None",0,None,18,"(1)ABRAXIS PHARM,80420;(2)ABRAXIS PHARM,86761;(3)AKORN,85037;(4)BEL MAR,80760;(5)BELMORA LLC,80504;(6)CARLISLE,84721;(7)DELL LABS,83388;(8)GD SEARLE LLC,83135;(9)HOSPIRA,88331;(10)LUITPOLD,83198;(11)LYPHOMED,80390;(12)MILES,80414;(13)PHARMATON,84727;(14)WATSON LABS,80377;(15)WATSON LABS,83627;(16)WEST-WARD PHARMS INT,80407;(17)WEST-WARD PHARMS INT,84625;(18)WYETH AYERST,83083;",0,None,None,None,NA,No,None,0,None,None,None,NO,None,7,(1)ALBEMARLE CORP(4323)(2)CAMBREX KARLSKOGA AB(19531)(3)DELTA SYNTHETIC CO LTD(11338)(4)HARMAN FINOCHEM LTD(28784)(5)MAHENDRA CHEMICALS(24051)(6)MOEHS IBERICA SL(5876)(7)SWATI SPENTOSE PRIVATE LTD(25963),http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/006488s074lbl.pdf,"Amide Local Anesthetic [EPC],Amides [Chemical/Ingredient],Antiarrhythmic [EPC],Local Anesthesia [PE],Amide Local Anesthetic [EPC],Amides [Chemical/Ingredient],Antiarrhythmic [EPC],Local Anesthesia [PE],Adrenergic alpha-Agonists [MoA],Adrenergic beta-Agonists [MoA],alpha-Adrenergic Agonist [EPC],beta-Adrenergic Agonist [EPC],Catecholamine [EPC],Catecholamines [Chemical/Ingredient]"
NDA,6530,6/5/1965,(1)MYLAN SPECIALITY LP-Jazz Pharmaceuticals Commercial Corp.;Meda Pharmaceuticals(2),MYLAN SPECIALITY LP,AVC,SULFANILAMIDE,CREAM;VAGINAL, {15%},,0,None,None,0,None,1,"(1)G AND W LABS INC,88718;",0,None,None,None,NA,No,None,0,None,None,None,NO,None,1,(1)NAPP TECHNOLOGIES LLC(5974),http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/006530s019lbl.pdf,None
NDA,6695,3/15/1949,"(1)RECORDATI RARE-RECORDATI RARE DISEASES, INC.(1)",RECORDATI RARE,MUSTARGEN,MECHLORETHAMINE HYDROCHLORIDE,INJECTABLE;INJECTION, {10MG/VIAL},,0,None,None,0,None,0,None,0,None,None,None,NA,No,None,0,None,None,None,NO,None,0,NA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/06695slr031_mustargen_lbl.pdf,"Alkylating Activity [MoA],Alkylating Drug [EPC]"
NDA,6823,5/18/1949,"(1)HOSPIRA-Hospira Worldwide, Inc.(1)",HOSPIRA,AQUASOL A,VITAMIN A PALMITATE,INJECTABLE;INJECTION," {EQ50,000UNITSBASE/ML}",,0,None,None,0,None,1,"(1)BEL MAR,80819;",0,None,None,None,NA,No,None,0,None,None,None,NO,None,2,(1)DSM NUTRITIONAL PRODUCTS LTD(31038)(2)ZHEJIANG NHU CO LTD(17708),None,None
NDA,6927,7/6/1949,(1)RANBAXY-Ranbaxy Laboratories Inc.(1),RANBAXY,EURAX,CROTAMITON,CREAM;TOPICAL, {10%},,0,None,None,0,None,0,None,0,None,None,None,NA,No,None,0,None,None,None,NO,None,2,(1)BIDACHEM SPA(15285)(2)SYN-TECH CHEM AND PHARM CO LTD(26374),"http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/06927slr030,09112slr021_eurax_lbl.pdf",None
NDA,7073,6/20/1950,"(1)PHARMACIA AND UPJOHN-A-S Medication Solutions;Aphena Pharma Solutions - Tennessee, LLC;Avera McKennan Hospital;Greenstone LLC;KAISER FOUNDATION HOSPITALS;Pharmacia and Upjohn Company LLC(6)",PHARMACIA AND UPJOHN,AZULFIDINE,SULFASALAZINE,TABLET;ORAL, {500MG}{500MG},AB,2,"(1)40349,VINTAGE PHARMS,1/11/2002;(2)85828,WATSON LABS,10/21/1977;","(1)VINTAGE PHARMS-Aidarex Pharmaceuticals LLC;Blenheim Pharmacal, Inc.;PD-Rx Pharmaceuticals, Inc.;Qualitest Pharmaceuticals(2)VINTAGE PHARMS-Qualitest Pharmaceuticals(3)WATSON LABS-Actavis Pharma, Inc.;AvPAK;Bryant Ranch Prepack;REMEDYREPACK INC.",0,None,7,"(1)HERITAGE PHARMS INC,80197;(2)SANDOZ,86184;(3)SOLVAY,83450;(4)SUN PHARM INDUSTRIES,89590;(5)SUPERPHARM,89339;(6)WATSON LABS,84964;(7)WATSON LABS,87197;",0,None,None,None,NA,No,None,0,None,None,None,NO,None,3,(1)CAMBREX CHARLES CITY INC(2239)(2)CORDEN PHARMA BERGAMO SPA(11163)(3)POSH CHEMICALS PRIVATE LTD(26127),http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/007073s128lbl.pdf,"Aminosalicylate [EPC],Aminosalicylic Acids [Chemical/Ingredient]"
NDA,7337,4/12/1950,(1)ENDO PHARMS-STAT RX USA LLC(1),ENDO PHARMS,PERCODAN,ASPIRIN;OXYCODONE HYDROCHLORIDE,TABLET;ORAL, {325MG;4.8355MG},AA,2,"(1)90084,ACTAVIS LABS FL INC,3/22/2011;(2)91670,MAYNE PHARMA INC,3/16/2011;","(1)ACTAVIS LABS FL INC-Actavis Pharma, Inc.(2)MAYNE PHARMA INC-Mayne Pharma Inc.",0,None,0,None,0,None,None,None,NA,No,None,0,None,None,None,NO,CII;,5;6,"(1)BAYER AG(15149)(2)JQC HUAYIN PHARMACEUTICAL CO LTD(29823)(3)NOVACYL SAS(11373,12092)(4)SHANDONG XINHUA PHARMACEUTICAL CO LTD(10730,29793,26844)(5)THE ANDHRA SUGARS LTD(17816,16345);(1)CHATTEM CHEMICALS INC(23419)(2)JOHNSON MATTHEY PHARMACEUTICAL MATERIALS(18472,20729)(3)MALLINCKRODT INC(6930)(4)NORAMCO INC(20975)(5)RHODES TECHNOLOGIES(16399)(6)SIEGFRIED USA LLC(23520)",http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/007337s049lbl.pdf,"Full Opioid Agonists [MoA],Opioid Agonist [EPC],Cyclooxygenase Inhibitors [MoA],Decreased Prostaglandin Production [PE],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC],Platelet Aggregation Inhibitor [EPC],Decreased Platelet Aggregation [PE]"
NDA,7409,5/11/1950,"(1)FOREST LABS INC-Allergan, Inc.(1)",FOREST LABS INC,BENTYL,DICYCLOMINE HYDROCHLORIDE,TABLET;ORAL, {10MG}{20MG},AB,3,"(1)84285,LANNETT,9/30/1974;(2)40319,MYLAN,9/07/1999;(3)85082,WATSON LABS,7/28/1976;","(1)LANNETT-A-S Medication Solutions;Aidarex Pharmaceuticals LLC;Lannett Company, Inc.;Liberty Pharmaceuticals, Inc.;Physicians Total Care, Inc.;Preferred Pharmaceuticals Inc.;Proficient Rx LP;RedPharm Drug, Inc.;REMEDYREPACK INC.;TYA Pharmaceuticals;Unit Dose Services(2)MYLAN-Bryant Ranch Prepack;Cardinal Health;H.J. Harkins Company inc.;Mylan Institutional Inc.;Mylan Pharmaceuticals Inc.;REMEDYREPACK INC.;State of Florida DOH Central Pharmacy(3)WATSON LABS-A-S Medication Solutions;Actavis Pharma, Inc.;Aidarex Pharmaceuticals LLC;Contract Pharmacy Services-PA;DIRECT RX;Dispensing Solutions, Inc.;NCS HealthCare of KY, Inc dba Vangard Labs;NuCare Pharmaceuticals, Inc.;PD-Rx Pharmaceuticals, Inc.;Preferred Pharmaceuticals, Inc.;Rebel Distributors Corp;REMEDYREPACK INC.;State of Florida DOH Central Pharmacy",0,None,4,"(1)HIKMA PHARMS,40204;(2)PIONEER PHARMS,89361;(3)SUN PHARM INDUSTRIES,84505;(4)WATSON LABS,83179;",0,None,None,None,NA,No,None,0,None,None,None,NO,None,3,(1)INDOCO REMEDIES LTD(22295)(2)OLON SPA(2303)(3)PCAS(10460),"http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/007409s042,008370s033lbl.pdf","Anticholinergic [EPC],Cholinergic Antagonists [MoA]"
NDA,7513,7/13/1950,"(1)HOSPIRA-General Injectables & Vaccines, Inc;Hospira, Inc.(2)",HOSPIRA,LEVOPHED,NOREPINEPHRINE BITARTRATE,INJECTABLE;INJECTION, {EQ1MGBASE/ML},AP,3,"(1)40859,BAXTER HLTHCARE CORP,3/27/2012;(2)40455,TEVA PHARMS USA,3/03/2003;(3)40462,WEST-WARD PHARMS INT,10/31/2003;","(1)BAXTER HLTHCARE CORP-Cardinal Health;Claris Lifesciences Inc.(2)TEVA PHARMS USA-Teva Parenteral Medicines, Inc.(3)WEST-WARD PHARMS INT-None",0,None,1,"(1)METRICS PHARM,40522;",0,None,None,None,NA,No,None,0,None,None,None,NO,None,3,(1)AMRI RENSSELAER INC(29562)(2)CAMBREX PROFARMACO MILANO SRL(12037)(3)CHEMPACIFIC CORP(16344),http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/007513Orig1s024lbl.pdf,"Catecholamine [EPC],Catecholamines [Chemical/Ingredient]"
NDA,7529,7/12/1950,(1)LILLY-Eli Lilly and Company(1),LILLY,QUINIDINE GLUCONATE,QUINIDINE GLUCONATE,INJECTABLE;INJECTION, {80MG/ML},,0,None,None,0,None,0,None,0,None,None,None,NA,No,None,0,None,None,None,NO,None,1,(1)BUCHLER GMBH(3677),None,"Antiarrhythmic [EPC],Cytochrome P450 2D6 Inhibitor [EPC],Cytochrome P450 2D6 Inhibitors [MoA]"
NDA,7936,5/17/1951,"(1)CHATTEM-Chattem, Inc.(1)",CHATTEM,SELSUN,SELENIUM SULFIDE,LOTION/SHAMPOO;TOPICAL, {2.50%},AT,2,"(1)89996,PERRIGO NEW YORK,1/10/1991;(2)88228,WOCKHARDT,9/01/1983;","(1)PERRIGO NEW YORK-Perrigo New York Inc;Physicians Total Care, Inc.(2)WOCKHARDT-Central Texas Community Health Centers;Morton Grove Pharmaceuticals, Inc.",0,None,4,"(1)ACTAVIS MID ATLANTIC,84394;(2)ALLERGAN HERBERT,83892;(3)G AND W LABS INC,86209;(4)IVAX PHARMS,85777;",0,None,None,None,NA,No,None,0,None,None,None,NO,None,1,(1)OMKAR SPECIALITY CHEMICALS LTD(26970),None,None
