Active Ingredient,Product Brand Name,Form,Dosage,TE Code,Product Application Type,Product Application No,Product Applicant Name,Marketing Status,Product Marketer Name
ABACAVIR SULFATE;LAMIVUDINE;ZIDOVUDINE,LAMIVUDINE; ZIDOVUDINE; ABACAVIR,TABLET;ORAL,EQ300MGBASE;150MG;300MG,NULL,NDA,21944,AUROBINDO PHARMA LTD,Tentatively Approved,NULL
ABACAVIR SULFATE;LAMIVUDINE;ZIDOVUDINE,TRIZIVIR,TABLET;ORAL,EQ300MGBASE;150MG;300MG,AB,NDA,21205,VIIV HLTHCARE,Prescription,State of Florida DOH Central Pharmacy
ABACAVIR SULFATE;LAMIVUDINE;ZIDOVUDINE,TRIZIVIR,TABLET;ORAL,EQ300MGBASE;150MG;300MG,AB,NDA,21205,VIIV HLTHCARE,Prescription,ViiV Healthcare Company
ABARELIX,PLENAXIS,INJECTABLE;INTRAMUSCULAR,100MG/VIAL,NULL,NDA,21320,SPECIALITY EUROPEAN,Discontinued,NULL
ACAMPROSATE CALCIUM,CAMPRAL,"TABLET,DELAYEDRELEASE;ORAL",333MG,NULL,NDA,21431,FOREST LABS,Discontinued,Carilion Materials Management
ACARBOSE,PRECOSE,TABLET;ORAL,"50MG,100MG,25MG",AB,NDA,20482,BAYER HLTHCARE,Prescription,"Alvogen, Inc."
ACARBOSE,PRECOSE,TABLET;ORAL,"50MG,100MG,25MG",AB,NDA,20482,BAYER HLTHCARE,Prescription,"Aphena Pharma Solutions - Tennessee, LLC"
ACARBOSE,PRECOSE,TABLET;ORAL,"50MG,100MG,25MG",AB,NDA,20482,BAYER HLTHCARE,Prescription,Bayer HealthCare Pharmaceuticals Inc.
ACARBOSE,PRECOSE,TABLET;ORAL,"50MG,100MG,25MG",AB,NDA,20482,BAYER HLTHCARE,Prescription,"Physicians Total Care, Inc."
ACEBUTOLOL HYDROCHLORIDE,SECTRAL,CAPSULE;ORAL,"EQ200MGBASE,EQ400MGBASE",AB,NDA,18917,PROMIUS PHARMA,Prescription,"Promius Pharma, LLC"
ACETAMINOPHEN,ACEPHEN,SUPPOSITORY;RECTAL,"120MG,650MG,325MG",NULL,NDA,18060,G AND W LABS,NULL,"G&W Laboratories, Inc."
ACETAMINOPHEN,ACEPHEN,SUPPOSITORY;RECTAL,"120MG,650MG,325MG",NULL,NDA,18060,G AND W LABS,NULL,"Physicians Total Care, Inc."
ACETAMINOPHEN,ACETAMINOPHEN,SUPPOSITORY;RECTAL,"650MG,325MG,120MG,80MG",NULL,NDA,18337,TARO PHARMS NORTH,NULL,Cardinal Health
ACETAMINOPHEN,ACETAMINOPHEN,SUPPOSITORY;RECTAL,"650MG,325MG,120MG,80MG",NULL,NDA,18337,TARO PHARMS NORTH,NULL,Actavis Mid Atlantic LLC
ACETAMINOPHEN,ACETAMINOPHEN,SUPPOSITORY;RECTAL,"650MG,325MG,120MG,80MG",NULL,NDA,18337,TARO PHARMS NORTH,NULL,Taro Pharmaceuticals U.S.A. Inc.
ACETAMINOPHEN,INFANTS' FEVERALL,SUPPOSITORY;RECTAL,"650MG,325MG,120MG,80MG",NULL,NDA,18337,TARO PHARMS NORTH,NULL,Cardinal Health
ACETAMINOPHEN,INFANTS' FEVERALL,SUPPOSITORY;RECTAL,"650MG,325MG,120MG,80MG",NULL,NDA,18337,TARO PHARMS NORTH,NULL,Actavis Mid Atlantic LLC
ACETAMINOPHEN,INFANTS' FEVERALL,SUPPOSITORY;RECTAL,"650MG,325MG,120MG,80MG",NULL,NDA,18337,TARO PHARMS NORTH,NULL,Taro Pharmaceuticals U.S.A. Inc.
ACETAMINOPHEN,INJECTAPAP,INJECTABLE;INJECTION,100MG/ML,NULL,NDA,17785,ORTHO MCNEIL PHARM,Discontinued,NULL
ACETAMINOPHEN,NEOPAP,SUPPOSITORY;RECTAL,120MG,NULL,NDA,16401,POLYMEDICA,NULL,NULL
ACETAMINOPHEN,OFIRMEV,SOLUTION;IV(INFUSION),1GM/100ML(10MG/ML),AP,NDA,22450,MALLINCKRODT IP,Prescription,Cardinal Health
ACETAMINOPHEN,OFIRMEV,SOLUTION;IV(INFUSION),1GM/100ML(10MG/ML),AP,NDA,22450,MALLINCKRODT IP,Prescription,Mallinckrodt Hospital Products Inc.
ACETAMINOPHEN,TYLENOL,SUPPOSITORY;RECTAL,"650MG,120MG",NULL,NDA,17756,J AND J CONSUMER INC,Discontinued,NULL
ACETAMINOPHEN,TYLENOL,"TABLET,EXTENDEDRELEASE;ORAL","650MG,650MG",NULL,NDA,19872,J AND J CONSUMER INC,NULL,"Johnson & Johnson Consumer Inc., McNeil Consumer Healthcare Division"
ACETAMINOPHEN;ASPIRIN;CAFFEINE,EXCEDRIN (MIGRAINE),TABLET;ORAL,250MG;250MG;65MG,NULL,NDA,20802,GLAXOSMITHKLINE CONS,NULL,Allegiant Health
ACETAMINOPHEN;ASPIRIN;CAFFEINE,EXCEDRIN (MIGRAINE),TABLET;ORAL,250MG;250MG;65MG,NULL,NDA,20802,GLAXOSMITHKLINE CONS,NULL,GlaxoSmithKline Consumer Healthcare Holdings (US) LLC
ACETAMINOPHEN;ASPIRIN;CAFFEINE,EXCEDRIN (MIGRAINE),TABLET;ORAL,250MG;250MG;65MG,NULL,NDA,20802,GLAXOSMITHKLINE CONS,NULL,"Novartis Consumer Health, Inc"
ACETAMINOPHEN;ASPIRIN;CAFFEINE,EXCEDRIN (MIGRAINE),TABLET;ORAL,250MG;250MG;65MG,NULL,NDA,20802,GLAXOSMITHKLINE CONS,NULL,"Novartis Consumer Health, Inc."
ACETAMINOPHEN;ASPIRIN;CAFFEINE,EXCEDRIN (MIGRAINE),TABLET;ORAL,250MG;250MG;65MG,NULL,NDA,20802,GLAXOSMITHKLINE CONS,NULL,State of Florida DOH Central Pharmacy
ACETAMINOPHEN;BUTALBITAL;CAFFEINE,ESGIC-PLUS,CAPSULE;ORAL,500MG;50MG;40MG,NULL,ANDA,40085,MIKART,Discontinued,NULL
ACETAMINOPHEN;BUTALBITAL;CAFFEINE;CODEINE PHOSPHATE,FIORICET W/ CODEINE,CAPSULE;ORAL,325MG;50MG;40MG;30MG,AB,NDA,20232,ACTAVIS LABS UT INC,Prescription,"Physicians Total Care, Inc."
ACETAMINOPHEN;BUTALBITAL;CAFFEINE;CODEINE PHOSPHATE,FIORICET W/ CODEINE,CAPSULE;ORAL,325MG;50MG;40MG;30MG,AB,NDA,20232,ACTAVIS LABS UT INC,Prescription,Bryant Ranch Prepack
ACETAMINOPHEN;BUTALBITAL;CAFFEINE;CODEINE PHOSPHATE,FIORICET W/ CODEINE,CAPSULE;ORAL,325MG;50MG;40MG;30MG,AB,NDA,20232,ACTAVIS LABS UT INC,Prescription,"Actavis Pharma, Inc."
ACETAMINOPHEN;CAFFEINE;DIHYDROCODEINE BITARTRATE,"ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE",CAPSULE;ORAL,356.4MG;30MG;16MG,NULL,ANDA,40109,MIKART,Discontinued,NULL
ACETAMINOPHEN;CLEMASTINE FUMARATE;PSEUDOEPHEDRINE HYDROCHLORIDE,TAVIST ALLERGY/SINUS/HEADACHE,TABLET;ORAL,500MG;EQ0.25MGBASE;30MG,NULL,NDA,21082,NOVARTIS,Discontinued,NULL
ACETAMINOPHEN;CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,SOLUTION;ORAL,120MG/5ML;12MG/5ML,AA,ANDA,40119,HI TECH PHARMA,Prescription,Aidarex Pharmaceuticals LLC
ACETAMINOPHEN;CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,SOLUTION;ORAL,120MG/5ML;12MG/5ML,AA,ANDA,40119,HI TECH PHARMA,Prescription,Apotheca Inc.
ACETAMINOPHEN;CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,SOLUTION;ORAL,120MG/5ML;12MG/5ML,AA,ANDA,40119,HI TECH PHARMA,Prescription,Atlantic Biologicals Corps
ACETAMINOPHEN;CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,SOLUTION;ORAL,120MG/5ML;12MG/5ML,AA,ANDA,40119,HI TECH PHARMA,Prescription,Hi-Tech Pharmacal Co. Inc.
ACETAMINOPHEN;CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,SOLUTION;ORAL,120MG/5ML;12MG/5ML,AA,ANDA,40119,HI TECH PHARMA,Prescription,"Preferred Pharmaceuticals, Inc."
ACETAMINOPHEN;CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,SOLUTION;ORAL,120MG/5ML;12MG/5ML,AA,ANDA,40119,HI TECH PHARMA,Prescription,RedPharm Drug Inc.
ACETAMINOPHEN;CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,SOLUTION;ORAL,120MG/5ML;12MG/5ML,NULL,ANDA,40098,DAVA PHARMS INC,Discontinued,NULL
ACETAMINOPHEN;DEXBROMPHENIRAMINE MALEATE;PSEUDOEPHEDRINE SULFATE,DRIXORAL PLUS,"TABLET,EXTENDEDRELEASE;ORAL",500MG;3MG;60MG,NULL,NDA,19453,SCHERING PLOUGH,Discontinued,NULL
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,SOLUTION;ORAL,500MG/15ML;7.5MG/15ML,NULL,ANDA,40182,PHARM ASSOC,Discontinued,Aidarex Pharmaceuticals LLC
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,SOLUTION;ORAL,500MG/15ML;7.5MG/15ML,NULL,ANDA,40182,PHARM ASSOC,Discontinued,"Physicians Total Care, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,SOLUTION;ORAL,500MG/15ML;7.5MG/15ML,NULL,ANDA,40182,PHARM ASSOC,Discontinued,Rebel Distributors Corp
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"750MG;7.5MG,500MG;5MG,660MG;10MG,650MG;10MG",NULL,ANDA,40084,MALLINCKRODT,Discontinued,"Aphena Pharma Solutions - Tennessee, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"750MG;7.5MG,500MG;5MG,660MG;10MG,650MG;10MG",NULL,ANDA,40084,MALLINCKRODT,Discontinued,McKesson Contract Packaging
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"750MG;7.5MG,500MG;5MG,660MG;10MG,650MG;10MG",NULL,ANDA,40084,MALLINCKRODT,Discontinued,Rebel Distributors Corp
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"650MG;7.5MG,650MG;10MG,660MG;10MG,750MG;10MG",NULL,ANDA,40094,WATSON LABS,Discontinued,STAT Rx USA LLC
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"500MG;5MG,750MG;7.5MG",NULL,ANDA,40122,WATSON LABS,Discontinued,NULL
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"650MG;7.5MG,650MG;10MG,500MG;2.5MG,500MG;7.5MG",NULL,ANDA,40123,WATSON LABS,Discontinued,NULL
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,650MG;7.5MG,NULL,ANDA,40134,UCB INC,Discontinued,NULL
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,650MG;10MG,NULL,ANDA,40143,VINTAGE PHARMS,Discontinued,"Dispensing Solutions, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,650MG;10MG,NULL,ANDA,40143,VINTAGE PHARMS,Discontinued,RedPharm Drug Inc.
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"500MG;7.5MG,500MG;2.5MG",NULL,ANDA,40144,VINTAGE PHARMS,Discontinued,"Dispensing Solutions, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"500MG;7.5MG,500MG;2.5MG",NULL,ANDA,40144,VINTAGE PHARMS,Discontinued,Rebel Distributors Corp
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"500MG;7.5MG,500MG;2.5MG",NULL,ANDA,40144,VINTAGE PHARMS,Discontinued,RedPharm Drug Inc.
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",NULL,ANDA,40148,APIL,Discontinued,Mckesson Rxpak Inc
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",NULL,ANDA,40148,APIL,Discontinued,"Actavis Pharma, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",NULL,ANDA,40148,APIL,Discontinued,Aidarex Pharmaceuticals LLC
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",NULL,ANDA,40148,APIL,Discontinued,"Allergan, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",NULL,ANDA,40148,APIL,Discontinued,American Health Packaging
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",NULL,ANDA,40148,APIL,Discontinued,Lake Erie Medical DBA Quality Care Products LLC
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",NULL,ANDA,40148,APIL,Discontinued,Major Pharmaceuticals
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",NULL,ANDA,40148,APIL,Discontinued,Proficient Rx LP
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",NULL,ANDA,40148,APIL,Discontinued,Unit Dose Services
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",NULL,ANDA,40148,APIL,Discontinued,Cardinal Health
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",NULL,ANDA,40148,APIL,Discontinued,"Physicians Total Care, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",NULL,ANDA,40148,APIL,Discontinued,STAT Rx USA LLC
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"500MG;5MG,750MG;7.5MG",NULL,ANDA,40149,SANDOZ,Discontinued,NULL
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,650MG;7.5MG,NULL,ANDA,40155,VINTAGE PHARMS,Discontinued,"Dispensing Solutions, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,750MG;7.5MG,NULL,ANDA,40157,VINTAGE PHARMS,Discontinued,"Dispensing Solutions, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,750MG;7.5MG,NULL,ANDA,40157,VINTAGE PHARMS,Discontinued,RedPharm Drug Inc.
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"500MG;7.5MG,500MG;10MG",NULL,ANDA,40201,MALLINCKRODT,Discontinued,"Mallinckrodt, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"500MG;7.5MG,500MG;10MG",NULL,ANDA,40201,MALLINCKRODT,Discontinued,"Aphena Pharma Solutions - Tennessee, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"500MG;7.5MG,500MG;10MG",NULL,ANDA,40201,MALLINCKRODT,Discontinued,"Golden State Medical Supply, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"500MG;7.5MG,500MG;10MG",NULL,ANDA,40201,MALLINCKRODT,Discontinued,McKesson Contract Packaging
ACETAMINOPHEN;HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TABLET;ORAL,"500MG;7.5MG,500MG;10MG",NULL,ANDA,40201,MALLINCKRODT,Discontinued,Rebel Distributors Corp
ACETAMINOPHEN;HYDROCODONE BITARTRATE,LORTAB,TABLET;ORAL,500MG;10MG,NULL,ANDA,40100,UCB INC,Discontinued,NULL
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,325MG;5MG,AA,ANDA,40099,APIL,Prescription,"Actavis Pharma, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,325MG;5MG,AA,ANDA,40099,APIL,Prescription,"Allergan, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,325MG;5MG,AA,ANDA,40099,APIL,Prescription,Apotheca Inc.
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,325MG;5MG,AA,ANDA,40099,APIL,Prescription,Major Pharmaceuticals
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,325MG;5MG,AA,ANDA,40099,APIL,Prescription,"PharmPak, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,325MG;5MG,AA,ANDA,40099,APIL,Prescription,Keltman Pharmaceuticals Inc.
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,325MG;5MG,AA,ANDA,40099,APIL,Prescription,STAT Rx USA LLC
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",AA,ANDA,40148,APIL,Prescription,Mckesson Rxpak Inc
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",AA,ANDA,40148,APIL,Prescription,"Actavis Pharma, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",AA,ANDA,40148,APIL,Prescription,Aidarex Pharmaceuticals LLC
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",AA,ANDA,40148,APIL,Prescription,"Allergan, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",AA,ANDA,40148,APIL,Prescription,American Health Packaging
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",AA,ANDA,40148,APIL,Prescription,Lake Erie Medical DBA Quality Care Products LLC
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",AA,ANDA,40148,APIL,Prescription,Major Pharmaceuticals
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",AA,ANDA,40148,APIL,Prescription,Proficient Rx LP
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",AA,ANDA,40148,APIL,Prescription,Unit Dose Services
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",AA,ANDA,40148,APIL,Prescription,Cardinal Health
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",AA,ANDA,40148,APIL,Prescription,"Physicians Total Care, Inc."
ACETAMINOPHEN;HYDROCODONE BITARTRATE,NORCO,TABLET;ORAL,"325MG;10MG,325MG;7.5MG,325MG;2.5MG,325MG;5MG,500MG;10MG",AA,ANDA,40148,APIL,Prescription,STAT Rx USA LLC
ACETAMINOPHEN;HYDROCODONE BITARTRATE,VICODIN HP,TABLET;ORAL,660MG;10MG,NULL,ANDA,40117,ABBVIE,Discontinued,NULL
ACETAMINOPHEN;OXYCODONE HYDROCHLORIDE,OXYCODONE AND ACETAMINOPHEN,CAPSULE;ORAL,500MG;5MG,NULL,ANDA,40106,VINTAGE PHARMS,Discontinued,NULL
ACETAMINOPHEN;OXYCODONE HYDROCHLORIDE,OXYCODONE AND ACETAMINOPHEN,CAPSULE;ORAL,500MG;5MG,NULL,ANDA,40199,ACTAVIS ELIZABETH,Discontinued,NULL
ACETAMINOPHEN;OXYCODONE HYDROCHLORIDE,OXYCODONE AND ACETAMINOPHEN,TABLET;ORAL,325MG;5MG,AA,ANDA,40105,VINTAGE PHARMS,Prescription,DirectRX
ACETAMINOPHEN;OXYCODONE HYDROCHLORIDE,OXYCODONE AND ACETAMINOPHEN,TABLET;ORAL,325MG;5MG,AA,ANDA,40105,VINTAGE PHARMS,Prescription,"H.J. Harkins Company, Inc."
ACETAMINOPHEN;OXYCODONE HYDROCHLORIDE,OXYCODONE AND ACETAMINOPHEN,TABLET;ORAL,325MG;5MG,AA,ANDA,40105,VINTAGE PHARMS,Prescription,Lake Erie Medical DBA Quality Care Products LLC
ACETAMINOPHEN;OXYCODONE HYDROCHLORIDE,OXYCODONE AND ACETAMINOPHEN,TABLET;ORAL,325MG;5MG,AA,ANDA,40105,VINTAGE PHARMS,Prescription,Major Pharmaceuticals
ACETAMINOPHEN;OXYCODONE HYDROCHLORIDE,OXYCODONE AND ACETAMINOPHEN,TABLET;ORAL,325MG;5MG,AA,ANDA,40105,VINTAGE PHARMS,Prescription,Par Pharmaceutical
ACETAMINOPHEN;OXYCODONE HYDROCHLORIDE,OXYCODONE AND ACETAMINOPHEN,TABLET;ORAL,325MG;5MG,AA,ANDA,40105,VINTAGE PHARMS,Prescription,"PD-Rx Pharmaceuticals, Inc."
ACETAMINOPHEN;OXYCODONE HYDROCHLORIDE,OXYCODONE AND ACETAMINOPHEN,TABLET;ORAL,325MG;5MG,AA,ANDA,40105,VINTAGE PHARMS,Prescription,Proficient Rx LP
ACETAMINOPHEN;OXYCODONE HYDROCHLORIDE,OXYCODONE AND ACETAMINOPHEN,TABLET;ORAL,325MG;5MG,AA,ANDA,40105,VINTAGE PHARMS,Prescription,Rebel Distributors Corp
